path,size_kb,referenced
public/menu/PHOTOS/A7404293-2.webp,12,no
public/menu/PHOTOS/A7404293-2,12,no
public/menu/PHOTOS/A7404278-2.webp,12,no
public/menu/PHOTOS/A7404267-2.webp,12,no
public/menu/PHOTOS/A7401607.webp,12,no
public/menu/PHOTOS/A7401607,12,no
public/menu/PHOTOS/A7401579.webp,12,no
src/assets/menu/restaurant,8,yes
src/assets/menu/plateaux,8,yes
public/menu/restaurant,8,yes
public/menu/plateaux,8,yes
src/assets/menu/plat,8,yes
src/assets/menu/PHOTOS/poke,8,no
src/assets/menu/PHOTOS/katsu,8,no
src/assets/menu/PHOTOS/gyoza,8,yes
src/assets/menu/PHOTOS/Poke,8,no
public/menu/plat,8,yes
public/menu/PHOTOS/poke,8,no
public/menu/PHOTOS/katsu,8,no
public/menu/PHOTOS/gyoza,8,yes
public/menu/PHOTOS/Poke,8,no
src/assets/menu/sashimi/sashimi,8,yes
src/assets/menu/chirachi/chirashi,8,no
src/assets/menu/PHOTOS/sashimi,8,yes
src/assets/menu/PHOTOS/chou,8,no
src/assets/menu/PHOTOS/chirashi,8,no
public/menu/sashimi/sashimi,8,yes
public/menu/chirachi/chirashi,8,no
public/menu/PHOTOS/sashimi,8,yes
public/menu/PHOTOS/chou,8,no
public/menu/PHOTOS/chirashi,8,no
src/assets/menu/PHOTOS/tartare,8,yes
public/menu/PHOTOS/tartare,8,yes
src/assets/menu/tartare/tartare,8,yes
src/assets/menu/tartare/taratre,8,no
src/assets/menu/dessert/mochis-coupe.webp,8,no
src/assets/menu/dessert/mochis,8,no
src/assets/menu/boisson/boisson,8,yes
src/assets/menu/boisson/UME.webp,8,yes
src/assets/menu/accompagnement/wakame,8,no
src/assets/menu/accompagnement/riz,8,no
src/assets/menu/accompagnement/edamame.webp,8,no
src/assets/menu/PHOTOS/wakame,8,no
src/assets/menu/PHOTOS/wagyu,8,yes
src/assets/menu/PHOTOS/taratre,8,no
src/assets/menu/PHOTOS/sushis,8,yes
src/assets/menu/PHOTOS/riz,8,no
src/assets/menu/PHOTOS/ox,8,yes
src/assets/menu/PHOTOS/nem.webp,8,no
src/assets/menu/PHOTOS/mochis,8,no
src/assets/menu/PHOTOS/karaage,8,no
src/assets/menu/PHOTOS/frit,8,yes
src/assets/menu/PHOTOS/edamame.webp,8,no
src/assets/menu/PHOTOS/edamame,8,no
src/assets/menu/PHOTOS/crevette,8,yes
src/assets/menu/PHOTOS/box,8,yes
src/assets/menu/PHOTOS/boisson,8,yes
src/assets/menu/PHOTOS/Samoussa,8,no
src/assets/menu/PHOTOS/Poulet,8,no
src/assets/menu/PHOTOS/IMG_3043.webp,8,no
src/assets/menu/PHOTOS/IMG_3029.webp,8,no
src/assets/menu/PHOTOS/IMG_2880,8,no
src/assets/menu/PHOTOS/Family,8,no
src/assets/menu/PHOTOS/Copie,8,no
src/assets/menu/PHOTOS/A7406360.webp,8,no
src/assets/menu/PHOTOS/A7406271.webp,8,no
src/assets/menu/PHOTOS/A7406047.webp,8,no
src/assets/menu/PHOTOS/A7404392.webp,8,no
src/assets/menu/PHOTOS/A7404354.webp,8,no
src/assets/menu/PHOTOS/A7404326.webp,8,no
src/assets/menu/PHOTOS/A7404237-2.webp,8,no
src/assets/menu/PHOTOS/A7401287.webp,8,no
public/menu/tartare/tartare,8,yes
public/menu/tartare/taratre,8,no
public/menu/dessert/mochis-coupe.webp,8,no
public/menu/dessert/mochis,8,no
public/menu/boisson/boisson,8,yes
public/menu/boisson/UME.webp,8,yes
public/menu/accompagnement/wakame,8,no
public/menu/accompagnement/riz,8,no
public/menu/accompagnement/edamame.webp,8,no
public/menu/PHOTOS/wakame,8,no
public/menu/PHOTOS/wagyu,8,yes
public/menu/PHOTOS/taratre,8,no
public/menu/PHOTOS/sushis,8,yes
public/menu/PHOTOS/riz,8,no
public/menu/PHOTOS/ox,8,yes
public/menu/PHOTOS/nem.webp,8,no
public/menu/PHOTOS/mochis,8,no
public/menu/PHOTOS/karaage,8,no
public/menu/PHOTOS/frit,8,yes
public/menu/PHOTOS/edamame.webp,8,no
public/menu/PHOTOS/edamame,8,no
public/menu/PHOTOS/crevette,8,yes
public/menu/PHOTOS/box,8,yes
public/menu/PHOTOS/boisson,8,yes
public/menu/PHOTOS/Samoussa,8,no
public/menu/PHOTOS/Poulet,8,no
public/menu/PHOTOS/IMG_3043.webp,8,no
public/menu/PHOTOS/IMG_3029.webp,8,no
public/menu/PHOTOS/IMG_2880,8,no
public/menu/PHOTOS/Family,8,no
public/menu/PHOTOS/Copie,8,no
public/menu/PHOTOS/A7406360.webp,8,no
public/menu/PHOTOS/A7406271.webp,8,no
public/menu/PHOTOS/A7406047.webp,8,no
public/menu/PHOTOS/A7404392.webp,8,no
public/menu/PHOTOS/A7404354.webp,8,no
public/menu/PHOTOS/A7404326.webp,8,no
public/menu/PHOTOS/A7404237-2.webp,8,no
public/menu/PHOTOS/A7401287.webp,8,no
src/assets/menu/PHOTOS/L_italien,4,yes
public/menu/PHOTOS/L_italien,4,yes
src/assets/menu/PHOTOS/sushi,4,yes
public/menu/PHOTOS/sushi,4,yes
src/assets/menu/sushi,4,yes
src/assets/menu/crispy/crispy,4,yes
src/assets/menu/burito/buritos,4,no
src/assets/menu/PHOTOS/crisoy,4,yes
src/assets/menu/PHOTOS/buritos,4,no
public/menu/sushi,4,yes
public/menu/crispy/crispy,4,yes
public/menu/burito/buritos,4,no
public/menu/PHOTOS/crisoy,4,yes
public/menu/PHOTOS/buritos,4,no
src/assets/menu/spring,4,no
src/assets/menu/roll_s/tolls,4,no
src/assets/menu/roll_s/rollsa,4,no
src/assets/menu/roll_s/rolls,4,yes
src/assets/menu/maki/makis,4,yes
src/assets/menu/flocon/flocon,4,yes
src/assets/menu/crispy/crisoy,4,yes
src/assets/menu/création,4,yes
src/assets/menu/california/cali,4,yes
src/assets/menu/PHOTOS/tolls,4,no
src/assets/menu/PHOTOS/sushisaumon,4,no
src/assets/menu/PHOTOS/spring,4,no
src/assets/menu/PHOTOS/saumon,4,yes
src/assets/menu/PHOTOS/rollsa,4,no
src/assets/menu/PHOTOS/rolls,4,yes
src/assets/menu/PHOTOS/roll_s,4,yes
src/assets/menu/PHOTOS/poulet,4,yes
src/assets/menu/PHOTOS/makis,4,yes
src/assets/menu/PHOTOS/flocon,4,yes
src/assets/menu/PHOTOS/crispy,4,yes
src/assets/menu/PHOTOS/california,4,yes
src/assets/menu/PHOTOS/cali,4,yes
src/assets/menu/PHOTOS/avocat,4,yes
src/assets/menu/PHOTOS/A7407667.webp,4,no
src/assets/menu/PHOTOS/A7405490.webp,4,no
public/placeholder.svg,4,yes
public/placeholder.jpg,4,no
public/placeholder-user.jpg,4,no
public/placeholder-logo.svg,4,no
public/placeholder-logo.png,4,no
public/menu/spring,4,no
public/menu/roll_s/tolls,4,no
public/menu/roll_s/rollsa,4,no
public/menu/roll_s/rolls,4,yes
public/menu/maki/makis,4,yes
public/menu/flocon/flocon,4,yes
public/menu/crispy/crisoy,4,yes
public/menu/création,4,yes
public/menu/california/cali,4,yes
public/menu/PHOTOS/tolls,4,no
public/menu/PHOTOS/sushisaumon,4,no
public/menu/PHOTOS/spring,4,no
public/menu/PHOTOS/saumon,4,yes
public/menu/PHOTOS/rollsa,4,no
public/menu/PHOTOS/rolls,4,yes
public/menu/PHOTOS/roll_s,4,yes
public/menu/PHOTOS/poulet,4,yes
public/menu/PHOTOS/makis,4,yes
public/menu/PHOTOS/flocon,4,yes
public/menu/PHOTOS/crispy,4,yes
public/menu/PHOTOS/california,4,yes
public/menu/PHOTOS/cali,4,yes
public/menu/PHOTOS/avocat,4,yes
public/menu/PHOTOS/A7407667.webp,4,no
public/menu/PHOTOS/A7405490.webp,4,no
public/google.svg,4,yes
